Symbols,Value
600201.SH,0
600276.SH,0
600305.SH,0
600340.SH,0
600346.SH,0
600436.SH,0
600446.SH,0
600460.SH,0
600519.SH,0
600536.SH,0
600562.SH,0
600570.SH,0
600593.SH,0
600703.SH,0
600728.SH,0
600745.SH,0
600763.SH,0
600809.SH,0
600872.SH,0
600887.SH,0
601012.SH,0
601888.SH,0
603019.SH,0
603222.SH,0
603501.SH,0
603690.SH,0
603799.SH,0
603986.SH,0
