Symbols,Value
300015.SZ,1.771
300033.SZ,0.845
300059.SZ,2.702
300136.SZ,0.36
300226.SZ,0.485
300253.SZ,0.761
300285.SZ,1.474
300308.SZ,0.583
300347.SZ,1.77
300450.SZ,2.282
300601.SZ,0.814
