Symbols,Multiplier,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Company Name,CSRC Industry ,Wind Industry ,Rating
603392.SS,25.618,376.20%,2466.90%,68.50%,2.621476144,9.115921198,0.454460229,-41.30%,1.560757371,4.592637798,0.355002119,0.262495043,1.68466744,-7.90%,WANTAI BIOLOGICAL,Pharmaceutical Industry,"Pharmaceuticals, Biotechnology & Life Sciences",BBB
603501.SS,16.617,76.40%,1571.60%,59.00%,1.254979968,1.260492106,0.853920388,-60.60%,1.255944658,2.017803089,0.385292767,1.250735988,1.272726208,-7.10%,WILLSEMI,"Manufacturing of Computers, Communications & Other Electronic Equipment",Semiconductors & Semiconductor Equipment ?,AA
603605.SS,10.357,70.40%,966.70%,48.70%,1.337983351,1.684301062,0.909464894,-41.80%,1.254502829,2.065296539,0.130929882,1.49515619,1.237267957,-5.90%,PROYA,Chemical materials and chemical products manufacturing industry.,Family and Personal Supplies,A
603606.SS,10.007,38.10%,961.20%,52.30%,0.877729079,0.507771576,0.592428605,-75.00%,1.17340097,1.322032107,0.153415305,2.12735166,1.169328795,-6.40%,Ningbo Orient Wires & Cables,Electric Machinery & Equipment Manufacturing,Capital Goods,BBB
603613.SS,12.319,145.40%,1137.40%,56.30%,1.876437929,4.37694856,0.842670964,-33.20%,1.393645086,3.164049117,0.45632656,1.287353827,1.734585915,-6.70%,IBI,Internet and related services,Software And Service,A
603690.SS,14.347,66.70%,1355.00%,64.70%,1.10417377,1.098509629,0.666786425,-60.70%,1.220678604,1.819825041,1.342245575,12.51687728,1.373875445,-7.90%,PNC,Special-Purpose Equipment Manufacturing,Capital Goods,BBB
603737.SS,19.897,68.00%,1968.30%,46.90%,1.336975144,1.070389502,0.741287889,-63.50%,1.268485267,2.286233267,0.770034131,2.016725321,1.432584708,-5.70%,Skshu,Chemical materials and chemical products manufacturing industry.,Materials ?,BBB
603799.SS,32.718,63.40%,3241.70%,66.60%,1.071219043,0.878785745,0.719072637,-72.20%,1.198085067,1.617291782,0.026452282,0.68589696,1.209139583,-8.10%,HUAYOU COBALT,Industry of Non-Ferrous Metal Smelting & Rolling Processing,Materials ?,BBB
603986.SS,22.391,74.40%,2193.20%,58.60%,1.240843054,1.224917346,0.784395041,-60.70%,1.256094303,1.957910465,0.185906132,2.249034662,1.436299591,-7.10%,GIGADEVICE,"Manufacturing of Computers, Communications & Other Electronic Equipment",Semiconductors & Semiconductor Equipment ?,BBB
605358.SS,13.14,352.40%,1229.70%,74.70%,2.392736122,5.823275664,0.191338947,-60.50%,1.49424432,4.289082837,0.457467889,-0.138984585,1.639758105,-8.70%,LION,"Manufacturing of Computers, Communications & Other Electronic Equipment",Semiconductors & Semiconductor Equipment ?,BBB
