Symbols,BeforeCovid,DuringCovid
300015.SZ,15.668,1.771
300033.SZ,12.649,-0.845
300059.SZ,10.181,2.702
300136.SZ,11.356,-0.36
300226.SZ,10.792,-0.485
300253.SZ,10.171,-0.761
300285.SZ,10.51,1.474
300308.SZ,10.861,-0.583
300347.SZ,14.76,1.77
300450.SZ,17.744,2.282
300601.SZ,25.077,-0.814
